区分,種類No.,ブランド,商品名,バリエーション・内訳,数量,税抜単価（円）,税込・実払単価（円）,小計（税込・実払・円）,備考
引出物,1,リーガロイヤルホテル手配,オヴァチュア レッドワインペア,,5,,3850,19250,ホテル手配
引出物,2,今治謹製,極上タオル フェイスタオル2P〈木箱入〉,,5,,4400,22000,ホテル手配
引出物,3,ReFa,HEART BRUSH,ブルーヘブン／アンティークローズ／サンセットグロウ／ピンクアナベル／ブルースター 各1,5,,3300,16500,色違いは同一種類
引出物,4,ReFa,AILE BRUSH,ローズゴールド1／シルバー1,2,,3800,7600,色違いは同一種類
引出物,5,ReFa,LOCK OIL BLOOM 120mL,,3,,3300,9900,
引出物,6,CLAYD,ワンタイムギフト,,3,,4345,13035,
引出物,7,,ホットアイマスク にゃんづくしギフト（21枚入り）,,5,,3300,16500,
引出物,8,煎茶堂東京,お茶2缶ギフト,白桃煎茶 はるみどり＋017 藤枝かおり,1,,4183,4183,ラッピング込み・注文全体値引きを按分
引出物,8,煎茶堂東京,お茶2缶ギフト,白桃煎茶 はるみどり＋040 静7132,1,,4072,4072,ラッピング込み・注文全体値引きを按分
引出物,8,煎茶堂東京,お茶2缶ギフト,レモングラス茶＋067 やぶきた本山,1,,3527,3527,ラッピング込み・注文全体値引きを按分
引出物,8,煎茶堂東京,お茶2缶ギフト,レモングラス茶＋068 おくみどり本山,1,,3638,3638,ラッピング込み・注文全体値引きを按分
引出物,8,煎茶堂東京,お茶2缶ギフト,レモングラス茶＋002 香駿,1,,3850,3850,ラッピング込み・注文全体値引きを按分
引出物,9,GIN NO MORI,プティボワ150,通常版,2,,3888,7776,季節違いは同一種類
引出物,9,GIN NO MORI,プティボワ150,Autumn,2,,4320,8640,季節違いは同一種類
引出物,10,L'ABEILLE,アカシアはちみつ＋はちみつペースト 栗 2本ギフト,"ASACIA ビスラスはちみつ1,500円＋栗1,500円＋箱600円（すべて税抜）",3,3600,3900,11700,食品8%・箱10%
引出物,11,MOFT,8-in-1 多機能スタンド MagSafe対応,デザートゴールド3／ミスティグレー3,6,,5760,34560,トープ2点はキャンセル済み
引出物,12,shu uemura,クレンジングオイル,,3,,4700,14100,免税購入額として記録
引出物,13,Dior,アディクト リップ マキシマイザー,,5,,4300,21500,免税購入額として記録
引出物,14,Anker,トラベルアダプタ（5-in-1）,,5,,2990,14950,
引出物,15,TENTIAL,アイマスク,,4,,4950,19800,
引出物,16,ニッカ,フロム・ザ・バレル,,5,3320,3652,18260,税率10%換算
引出物,17,SHIRO,CHERISH MY LOVE ハンド美容液,,3,4050,4455,13365,ISETAN株主優待：税抜から10%OFF
引出物,18,SHIRO,PEONY BLISS ボディミスト,,3,4050,4455,13365,ISETAN株主優待：税抜から10%OFF
引出物,19,SHIRO,ホワイトリリー ファブリックソフナー,,3,2340,2574,7722,ISETAN株主優待：税抜から10%OFF
引出物,20,Santa Maria Novella,タボレッタ ローザ ノヴェッラ 2枚入り,,4,4770,5247,20988,ISETAN株主優待：税抜から10%OFF
引出物,21,Paul Smith,靴下＋ハンカチセット,"ハンカチ1,400円＋靴下2,400円",3,,3800,11400,
引菓子,1,リーガロイヤルホテル,濃厚ガトーショコラ,3個入り,12,,1500,18000,ホテル手配
引菓子,2,リーガロイヤルホテル,はちみつマドレーヌ,4個入り,12,,1500,18000,ホテル手配
引菓子,3,リーガロイヤルホテル,ヘーゼルナッツキャラメルタルト,,12,,1296,15552,ホテル手配
引菓子,4,リーガロイヤルホテル,チーズケーキ,,12,,1404,16848,ホテル手配
引菓子,5,PISTACHIO TOKYO,ピスタチオショコラ,,5,,1650,8250,
引菓子,6,益や,ほろ酔い専用セット,820円＋350円＋350円＋440円,3,,1960,5880,
引菓子,7,Mr. CHEESECAKE,Gift Bag,4個入り,5,,1782,8910,
引菓子,8,PARIS BUTTER CHOCOLAT,パリバターショコラ,,8,,1280,10240,ユーザー指定価格で管理
引菓子,9,JEAN-PAUL HÉVIN,キト,,6,,1350,8100,
引菓子,10,サブレミシェル,Voyage Sablé,サブレ パリ,2,,1473,2946,地域違いは同一種類
引菓子,10,サブレミシェル,Voyage Sablé,サブレ イタリア,2,,1473,2946,地域違いは同一種類
引菓子,10,サブレミシェル,Voyage Sablé,サブレ 日本,2,,1473,2946,地域違いは同一種類
引菓子,10,サブレミシェル,Voyage Sablé,銀座限定サブレ,2,,1500,3000,地域違いは同一種類
